id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_gizi_buruk,jumlah_balita,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,BALITA GIZI KURANG,20999,ORANG,2019
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,BALITA PENDEK,86706,ORANG,2019
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,BALITA KURUS,16179,ORANG,2019
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BALITA GIZI KURANG,8016,ORANG,2019
5,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BALITA PENDEK,11352,ORANG,2019
6,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BALITA KURUS,6641,ORANG,2019
7,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BALITA GIZI KURANG,8553,ORANG,2019
8,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BALITA PENDEK,10017,ORANG,2019
9,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BALITA KURUS,3570,ORANG,2019
10,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BALITA GIZI KURANG,12706,ORANG,2019
11,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BALITA PENDEK,15020,ORANG,2019
12,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BALITA KURUS,3954,ORANG,2019
13,32,JAWA BARAT,3205,KABUPATEN GARUT,BALITA GIZI KURANG,7718,ORANG,2019
14,32,JAWA BARAT,3205,KABUPATEN GARUT,BALITA PENDEK,9255,ORANG,2019
15,32,JAWA BARAT,3205,KABUPATEN GARUT,BALITA KURUS,3682,ORANG,2019
16,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BALITA GIZI KURANG,8865,ORANG,2019
17,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BALITA PENDEK,17254,ORANG,2019
18,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BALITA KURUS,2971,ORANG,2019
19,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BALITA GIZI KURANG,306,ORANG,2019
20,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BALITA PENDEK,614,ORANG,2019
21,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BALITA KURUS,1613,ORANG,2019
22,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BALITA GIZI KURANG,4088,ORANG,2019
23,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BALITA PENDEK,5553,ORANG,2019
24,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BALITA KURUS,2270,ORANG,2019
25,32,JAWA BARAT,3209,KABUPATEN CIREBON,BALITA GIZI KURANG,13743,ORANG,2019
26,32,JAWA BARAT,3209,KABUPATEN CIREBON,BALITA PENDEK,14127,ORANG,2019
27,32,JAWA BARAT,3209,KABUPATEN CIREBON,BALITA KURUS,6098,ORANG,2019
28,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BALITA GIZI KURANG,4220,ORANG,2019
29,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BALITA PENDEK,3905,ORANG,2019
30,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BALITA KURUS,2133,ORANG,2019
31,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BALITA GIZI KURANG,4237,ORANG,2019
32,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BALITA PENDEK,6780,ORANG,2019
33,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BALITA KURUS,1676,ORANG,2019
34,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BALITA GIZI KURANG,13640,ORANG,2019
35,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BALITA PENDEK,20255,ORANG,2019
36,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BALITA KURUS,10369,ORANG,2019
37,32,JAWA BARAT,3213,KABUPATEN SUBANG,BALITA GIZI KURANG,3974,ORANG,2019
38,32,JAWA BARAT,3213,KABUPATEN SUBANG,BALITA PENDEK,2476,ORANG,2019
39,32,JAWA BARAT,3213,KABUPATEN SUBANG,BALITA KURUS,1892,ORANG,2019
40,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BALITA GIZI KURANG,2622,ORANG,2019
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BALITA PENDEK,2453,ORANG,2019
42,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BALITA KURUS,669,ORANG,2019
43,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BALITA GIZI KURANG,4310,ORANG,2019
44,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BALITA PENDEK,3654,ORANG,2019
